Argentina,Military,Current, 3.48 , 4.05 , 4.56 , 5.14 , 4.98 , 5.48 , 4.51 , 5.46 , 4.14 
Australia,Military,Current, 23.22 , 26.60 , 26.22 , 24.83 , 25.78 , 24.05 , 26.38 , 27.69 , 26.71 
Brazil,Military,Current, 34.00 , 36.94 , 33.99 , 32.87 , 32.66 , 24.62 , 24.22 , 29.28 , 27.77 
Canada,Military,Current, 19.32 , 21.39 , 20.45 , 18.52 , 17.85 , 17.94 , 17.78 , 21.34 , 21.62 
China,Military,Current, 115.71 , 137.97 , 157.39 , 179.88 , 200.77 , 214.09 , 216.03 , 227.83 , 250.00 
Germany,Military,Current, 46.26 , 48.14 , 46.47 , 45.93 , 46.10 , 39.81 , 41.58 , 45.38 , 49.47 
France,Military,Current, 61.78 , 64.60 , 60.04 , 62.42 , 63.61 , 55.34 , 57.36 , 60.42 , 63.80 
United Kingdom,Military,Current, 58.08 , 60.27 , 58.50 , 56.86 , 59.18 , 53.86 , 48.12 , 46.43 , 50.00 
Indonesia,Military,Current, 4.66 , 5.84 , 6.53 , 8.38 , 6.93 , 7.64 , 7.39 , 8.18 , 7.44 
India,Military,Current, 46.09 , 49.63 , 47.22 , 47.40 , 50.91 , 51.30 , 56.64 , 64.56 , 66.51 
Italy,Military,Current, 32.02 , 33.83 , 29.78 , 29.96 , 27.70 , 22.18 , 25.03 , 26.45 , 27.81 
Japan,Military,Current, 54.66 , 60.76 , 60.01 , 49.02 , 46.88 , 42.11 , 46.47 , 45.39 , 46.62 
"Korea, Rep.",Military,Current, 28.18 , 30.99 , 31.95 , 34.31 , 37.55 , 36.57 , 36.89 , 39.17 , 43.07 
Mexico,Military,Current, 5.90 , 6.47 , 6.98 , 7.84 , 8.66 , 7.74 , 6.02 , 5.78 , 6.57 
Russian Federation,Military,Current, 58.72 , 70.24 , 81.47 , 88.35 , 84.70 , 66.42 , 69.25 , 66.53 , 61.39 
Saudi Arabia,Military,Current, 45.24 , 48.53 , 56.50 , 67.02 , 80.76 , 87.19 , 63.67 , 70.40 , 67.55 
Turkey,Military,Current, 17.94 , 17.30 , 17.96 , 18.66 , 17.77 , 15.88 , 17.85 , 17.82 , 18.97 
United States,Military,Current, 698.18 , 711.34 , 684.78 , 639.70 , 609.91 , 596.10 , 600.11 , 605.80 , 648.80 
South Africa,Military,Current, 4.19 , 4.59 , 4.49 , 4.12 , 3.89 , 3.49 , 3.17 , 3.64 , 3.64 
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Australia,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Brazil,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Canada,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
China,Military,Percapita, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
